,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
183,모자포유,소매,통신판매,서울특별시 중구 장충단로6가길 21-6,127.008455227801,37.5612066562938
184,파리바게뜨장충점,음식,제과점,서울특별시 중구 장충단로 175,127.005542367976,37.5606505405543
185,원조평남할머니족발,음식,족발/보쌈전문,서울특별시 중구 장충단로 170-1,127.005765540669,37.5600397100053
186,현대자동차중구대리점,소매,자동차판매,서울특별시 중구 장충단로 210,127.007136452324,37.5633490687028
187,더파크뷰,음식,종합부페,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
188,킹스,음식,종합부페,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
189,산타마리아노벨라,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
190,더페이스샵장충동신라면세점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
191,한스킨신라서울점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
192,미샤신라장충면세점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
193,스킨푸드신라면세장충점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
194,고운세상코스메틱호텔신라점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
195,에뛰드하우스신라면세점장충점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
196,이니스프리신라면세점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
197,잇츠스킨호텔신라면세점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
198,제일모직신라호텔,숙박,호텔/콘도,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
199,HOWANDWHAT,소매,맞춤양장/양장점,서울특별시 중구 동호로 298,127.003025092802,37.5609897279629
200,SK-II신라면세점서울점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
201,안경박사장충점,소매,안경원,서울특별시 중구 동호로24길 3,127.005130034862,37.5593135210451
202,CU동국대기숙사점,소매,편의점,서울특별시 중구 필동로1길 40,126.998405206049,37.5585898898803
203,해동어콤,소매,인테리어/욕실용품/커튼,서울특별시 중구 동호로20나길 40,127.006883687486,37.5602203193074
204,장충주차장,생활서비스,주차장운영,서울특별시 중구 장충단로8길 20,127.007827027919,37.5616338799553
205,성원렌트카,생활서비스,렌트카,서울특별시 중구 장충단로 72,127.002504663757,37.551632487895
206,장원렌트카,생활서비스,렌트카,서울특별시 중구 동호로 233,127.007659074084,37.5580823528368
207,에르메스코리아신라호텔점,소매,가방/가죽제품소매,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
208,분도책방,소매,천주교서적판매,서울특별시 중구 장충단로 188,127.006414600575,37.5614508032491
209,애드라인,생활서비스,광고물제작,서울특별시 중구 장충단로4길 13,127.006869456339,37.5612924423891
210,키사,소매,구두제화/캐주얼화,서울특별시 중구 장충단로4길 28-1,127.007578434673,37.5607487670872
211,아트청,생활서비스,사진관,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
212,퇴계5가우체국,생활서비스,우체국/우편물취급소,서울특별시 중구 퇴계로 270,127.001632232598,37.5627349931983
213,서울석유직영장충동주유소,생활서비스,주유소,서울특별시 중구 장충단로 202,127.007019967835,37.5627443895268
214,씨에이엔,생활서비스,사업경영상담,서울특별시 중구 장충단로 72,127.002504663757,37.551632487895
215,경동교회경동어린이집,학문/교육,어린이집,서울특별시 중구 장충단로 204,127.007196508945,37.5630882709895
216,팬디신라호텔면세점,숙박,호텔/콘도,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
217,한살림경기남부생협,소매,유기농식품판매,서울특별시 중구 장충단로 200,127.006977327625,37.5625458011816
218,이래,생활서비스,광고물제작,서울특별시 중구 동호로 282,127.003146876486,37.5594950229715
219,그랑아,음식,정통양식/경양식,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
220,더킹스,음식,정통양식/경양식,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
221,클럽멤버스레스토랑,음식,정통양식/경양식,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
222,신라호텔,생활서비스,예식장/예식서비스,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
223,신라세탁소,생활서비스,세탁소/빨래방,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
224,기아대리점,소매,자동차판매,서울특별시 중구 장충단로 205,127.006619180232,37.5630924250737
225,모리엔,음식,음식점-일식,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
226,호텔소피텔앰버서더,생활서비스,목욕업-찜질방,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
227,특급노래방,관광/여가/오락,노래방,서울특별시 중구 장충단로 175,127.005542367976,37.5606505405543
228,대덕이용원,생활서비스,남성미용실,서울특별시 중구 장충단로7길 17,127.00542871358,37.562388598375
229,남산자유센터웨딩홀,생활서비스,예식장/예식서비스,서울특별시 중구 장충단로 72,127.002504663757,37.551632487895
230,엄마빨래방,생활서비스,세탁소/빨래방,서울특별시 중구 동호로25길 41,127.00128085065,37.5593801378482
231,웰빙텔,숙박,모텔/여관/여인숙,서울특별시 중구 동호로30길 33,127.004856250802,37.5611763753692
232,구자춘헤어컬러,생활서비스,여성미용실,서울특별시 중구 동호로25길 37,127.001338639379,37.5592905222595
233,신도여관,숙박,모텔/여관/여인숙,서울특별시 중구 퇴계로56가길 7,127.00516643296,37.5616835742071
234,블루클럽장충점,생활서비스,남성미용실,서울특별시 중구 퇴계로56길 57,127.005578537071,37.5613356388257
235,CF모텔,숙박,모텔/여관/여인숙,서울특별시 중구 퇴계로56길 51,127.005677401659,37.5615617325542
236,반얀트리사우나,생활서비스,욕탕업-종합,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
237,차돌집,음식,한식/백반/한정식,서울특별시 중구 장충단로7길 9,127.005849025417,37.5622750027101
238,CU,소매,편의점,서울특별시 중구 동호로25길 27,127.001423391004,37.5588767587702
239,투썸플레이스,음식,커피전문점/카페/다방,서울특별시 중구 장충단로 205,127.006619180232,37.5630924250737
240,계수나무,음식,호프/맥주,서울특별시 중구 장충단로7길 7,127.005905853338,37.5622574603445
241,씨쿼드,생활서비스,간판제작종합,서울특별시 중구 장충단로8길 11,127.007096961844,37.5620602435412
242,GS25동국타운,소매,편의점,서울특별시 중구 동호로25길 15,127.002139737034,37.5586305229738
243,단체티닷컴,소매,통신판매,서울특별시 중구 동호로 240,127.007320002215,37.5588994531509
244,시월네트워크,생활서비스,간판제작종합,서울특별시 중구 장충단로6길 57-8,127.009265573992,37.560699863851
245,남산전기,소매,조명기구/전기용품,서울특별시 중구 동호로 242,127.007068871921,37.5590595294272
246,에이엔피개발,생활서비스,인력공급/고용알선,서울특별시 중구 동호로30길 30,127.004575350345,37.5610208298189
247,이화테크,생활서비스,자동차정비/카센타,서울특별시 중구 장충단로8가길 2-13,127.008856670604,37.5625165414244
248,기쁜우리게임창고,생활서비스,오락/스포츠용품대여,서울특별시 중구 동호로27길 30,127.002145813008,37.5607209968448
249,MOTOPLACE,생활서비스,자전거판매/수리,서울특별시 중구 퇴계로50가길 25,127.002442975524,37.5613542388721
250,한국종이접기협회,소매,서적/신문소매,서울특별시 중구 장충단로 166,127.006133081622,37.559637334572
251,서미앤투스,소매,생활용품판매,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
252,EGM모터스,소매,자동차부품판매,서울특별시 중구 동호로27길 19,127.001824698564,37.5601866663817
253,플래너뱅크부동산중개법인,부동산,부동산중개,서울특별시 중구 장충단로8길 11,127.007096961844,37.5620602435412
254,대림서울중앙서비스전문점,생활서비스,자동차정비/카센타,서울특별시 중구 퇴계로 266,127.001338692603,37.5626784479101
255,동양잉크유통,소매,사무/문구용품,서울특별시 중구 퇴계로50가길 2,127.001253069794,37.5614613145153
256,RETROWORKS,생활서비스,자전거판매/수리,서울특별시 중구 동호로 300,127.003067601645,37.5611973270511
257,호남건재,소매,유리/페인트/철물건축자재,서울특별시 중구 퇴계로58길 5,127.006543855579,37.5636504385005
258,부극마트,소매,수퍼마켓,서울특별시 중구 퇴계로50길 33-2,127.001122671894,37.5610547415896
259,삼성정육점,소매,육류소매,서울특별시 중구 퇴계로56길 60,127.005330029968,37.5612975036479
260,앰베서더이용원,생활서비스,남성미용실,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
261,삼성카드쇼핑-신라면세,음식,라면김밥분식,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
262,이숲,소매,서적/신문소매,서울특별시 중구 장충단로8가길 2-1,127.008144249951,37.5624655061405
263,선일식품,소매,식료품점,서울특별시 중구 퇴계로56길 43,127.005922198869,37.561879159454
264,신원글로벌신라호점,소매,일반의류,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
265,CU,소매,편의점,서울특별시 중구 동호로27길 25,127.001672643993,37.560554808783
266,만복상회,소매,양품점,서울특별시 중구 동호로25길 27,127.001423391004,37.5588767587702
267,아이지엠글로벌,학문/교육,학원-입시,서울특별시 중구 장충단로8길 11-16,127.00738452736,37.5625672463754
268,바이크,생활서비스,자전거판매/수리,서울특별시 중구 퇴계로50가길 25,127.002442975524,37.5613542388721
269,모다리슨호텔신라점,소매,일반의류,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
270,더웰니스컴퍼니,스포츠,스포츠센터,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
271,올리브그린,소매,서적/신문소매,서울특별시 중구 동호로27길 30,127.002145813008,37.5607209968448
272,롯데쇼핑GF사업본부신,소매,종합소매,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
273,토프시스템,소매,일반가구소매,서울특별시 중구 동호로25길 43,127.001133846741,37.5593698837864
274,마리아산탄젤로코리아,소매,셔츠/내의/속옷,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
275,쉼부티크,소매,화장품판매점,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
276,서울상사,생활서비스,자동차정비/카센타,서울특별시 중구 장충단로 205,127.006619180232,37.5630924250737
277,그랜드스포츠,소매,운동/경기용품,서울특별시 중구 장충단로8길 45-12,127.009308068126,37.5626194450096
278,놀이와공부,소매,서적/신문소매,서울특별시 중구 동호로25길 26,127.001794573955,37.5590510960288
279,신세계산타마리아노벨라,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
280,그라프다이아몬즈브랜치즈리미티,소매,시계/귀금속,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
281,리스크컨설팅코리아,생활서비스,사업경영상담,서울특별시 중구 동호로 292,127.003155587142,37.5605403078014
282,GS25동국사랑점,소매,편의점,서울특별시 중구 동호로25길 45,127.001042466795,37.5594321837309
283,신성전자통신,소매,핸드폰소매,서울특별시 중구 동호로28길 12,127.003671350007,37.5600580975768
284,비지에프리테일중구장충체육관1,소매,편의점,서울특별시 중구 동호로 241,127.006655756522,37.5586325633875
285,비노파라다이스,소매,식료품점,서울특별시 중구 동호로28길 12,127.003365781413,37.5600555185019
286,서진아트스페이스,소매,화방/필방,서울특별시 중구 동호로27길 30,127.002145813008,37.5607209968448
287,엑설런스랩,학문/교육,학원(종합),서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
288,카페로비,음식,한식/백반/한정식,서울특별시 중구 동호로 272,127.003614123929,37.5592556852112
289,오일플래닝,소매,자동차부품판매,서울특별시 중구 장충단로 202,127.007019967835,37.5627443895268
290,하이밸류컨설팅,생활서비스,사업경영상담,서울특별시 중구 퇴계로 272,127.001936970622,37.5628006428627
291,혜화카페,음식,커피전문점/카페/다방,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
292,경동어린이집,학문/교육,어린이집,서울특별시 중구 장충단로 204,127.007196508945,37.5630882709895
293,문바,음식,빠/카페/스탠드빠,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
294,피아자셈피오네신라호텔서울,소매,일반의류,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
295,라연,음식,패밀리레스토랑,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
296,라콘티넨탈,음식,기타전문서양음식점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
297,정통돈까쓰이야기,음식,돈가스전문점,서울특별시 중구 퇴계로52길 22,127.003822558359,37.5623029732879
298,신세계음향,소매,음반/테이프/CD,서울특별시 중구 장충단로6가길 15-4,127.00823888073,37.5613039539837
299,아구랑꽃게랑,음식,해물찜/탕전문,서울특별시 중구 동호로24길 35-5,127.005042602986,37.5607814865372
300,킹스뷔페,음식,종합부페,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
301,네이처리퍼블릭신라면세점장충점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
302,로비라운지&델리,음식,커피전문점/카페/다방,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
303,강건너대장금,음식,한식/백반/한정식,서울특별시 중구 동호로 235-14,127.007008183889,37.5576623996884
304,키톤신라호텔서울,소매,일반의류,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
305,라폰타나신라호텔,음식,기타전문서양음식점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
306,로비라운지,숙박,호텔/콘도,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
307,도치피자장충점,음식,피자전문,서울특별시 중구 동호로24길 27-6,127.005010208159,37.5606640777781
308,남산제이그랜하우스,생활서비스,예식장/예식서비스,서울특별시 중구 장충단로 72,127.002504663757,37.551632487895
309,일공오카페장충점,음식,커피전문점/카페/다방,서울특별시 중구 장충단로8길 21,127.007525240609,37.5621990012569
310,스카이라인스포츠,소매,운동/경기용품,서울특별시 중구 장충단로 188,127.006414600575,37.5614508032491
311,이씨엠디,음식,한식/백반/한정식,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
312,USB하우스,숙박,캠프/별장/펜션,서울특별시 중구 동호로 290-9,127.003505827439,37.5605883166948
313,뚱뚱이할매족발집,음식,한식/백반/한정식,서울특별시 중구 장충단로4길 24-9,127.007095011538,37.5605014204995
314,맹산식당,음식,한식/백반/한정식,서울특별시 중구 동호로30길 37,127.005003378686,37.5611776154188
315,명동광고,생활서비스,광고물제작,서울특별시 중구 동호로 303,127.002453332074,37.5614264098953
316,버블캐슬,음식,호프/맥주,서울특별시 중구 동호로24길 27-3,127.005205719395,37.5604314538065
317,삼성웰스토리동국대기숙사,음식,커피전문점/카페/다방,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
318,서울석유장충주유소,생활서비스,주유소,서울특별시 중구 장충단로 202,127.007019967835,37.5627443895268
319,송림화원,소매,꽃집/꽃배달,서울특별시 중구 동호로 313-10,127.001917460166,37.5625662065542
320,승화산업동국대점,음식,커피전문점/카페/다방,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
321,아람스포츠,소매,운동/경기용품,서울특별시 중구 장충단로8길 16,127.007349775819,37.5617740353068
322,엔젤미용실,생활서비스,여성미용실,서울특별시 중구 장충단로7길 9-1,127.005769322609,37.5623103732938
323,에이블현대호텔앤리조트,숙박,호텔/콘도,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
324,육전마당,음식,한식/백반/한정식,서울특별시 중구 장충단로 177-1,127.005596680113,37.5608221964334
325,장모네순대국밥,음식,한식/백반/한정식,서울특별시 중구 동호로24길 19-6,127.004936857274,37.5602219478856
326,청천강민물장어,음식,민물장어전문,서울특별시 중구 동호로24길 35,127.005280150089,37.5607924986436
327,케이팝레지던스동대문,숙박,모텔/여관/여인숙,서울특별시 중구 퇴계로60길 11,127.006546607332,37.5634432215537
328,평남집,음식,한식/백반/한정식,서울특별시 중구 장충단로 170-1,127.005765540669,37.5600397100053
329,헤어투데이,생활서비스,여성미용실,서울특별시 중구 동호로25길 16,127.001955778731,37.5588452186838
330,현대중구판매대리점,소매,자동차판매,서울특별시 중구 장충단로 210,127.007136452324,37.5633490687028
331,라끄리닉드파리,생활서비스,비만/피부관리,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
332,고려H&H센터,소매,식료품점,서울특별시 중구 장충단로 205,127.006619180232,37.5630924250737
333,럭키상사,소매,유리/페인트/철물건축자재,서울특별시 중구 동호로25길 46,127.001051859483,37.5595764302655
334,용인상회,소매,양품점,서울특별시 중구 장충단로7길 11,127.005678421758,37.5623366390718
335,의종개발,생활서비스,사업경영상담,서울특별시 중구 동호로25길 12,127.002123493624,37.5589998138557
336,동국CopyCenter,생활서비스,복사대행,서울특별시 중구 동호로 256,127.005438714247,37.5590818501722
337,충무어린이집,학문/교육,어린이집,서울특별시 중구 동호로27길 21,127.001710563203,37.5602577848828
338,기쁜우리게임창고,생활서비스,오락/스포츠용품대여,서울특별시 중구 퇴계로50길 53,127.001120977019,37.5603338920787
339,스포츠119,스포츠,스포츠센터,서울특별시 중구 장충단로8가길 2-7,127.00853917676,37.5625589277791
340,누수탐지기간제근로자,생활서비스,배관난방보일러,서울특별시 중구 장충단로 88,127.003011915824,37.5534839150535
341,브레댄코,음식,제과점,서울특별시 중구 동호로 256,127.005438714247,37.5590818501722
342,동우칼라인쇄,생활서비스,인쇄종합,서울특별시 중구 퇴계로50가길 14,127.001751403112,37.5614384978224
343,알피에이치에셋디벨롭먼트,부동산,부동산중개,서울특별시 중구 장충단로 182,127.006194950799,37.5609443697318
344,좋은옷하우스,소매,일반의류,서울특별시 중구 퇴계로52길 42-7,127.003767009022,37.5613744292572
345,신라호텔VT,숙박,호텔/콘도,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
346,대호프린팅,음식,호프/맥주,서울특별시 중구 퇴계로50길 51-1,127.001107374262,37.5605049753514
347,동국대학교우편취급국,생활서비스,우체국/우편물취급소,서울특별시 중구 필동로1길 40,126.998405206049,37.5585898898803
348,아티제신라면세점,음식,제과점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
349,아베다코리아포레스타반얀트리점,소매,화장품판매점,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
350,에스쁘아신라면세점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
351,한스킨신라면세점본점장충점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
352,그랜드앰배서더더킹스본점,소매,백화점,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
353,버츠비코리아신라면세점서울점,소매,아케이드/쇼핑센타,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
354,더샘신라면세점장충점,소매,백화점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
355,디디에두보신라서울면세점,소매,시계방,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
356,구찌그룹코리아신라호텔점,소매,수입품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
357,아리아께신라호텔,음식,음식점-일식,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
358,A1바이크,생활서비스,자전거판매/수리,서울특별시 중구 퇴계로 268,127.001485101802,37.5627337489043
359,유진참치,음식,참치전문점,서울특별시 중구 장충단로 181,127.005750934414,37.5611388610582
360,느티나무집,음식,한식/백반/한정식,서울특별시 중구 동호로28길 11,127.003713860178,37.5602656964829
361,샤론꽃방.,음식,커피전문점/카페/다방,서울특별시 중구 장충단로 205,127.006619180232,37.5630924250737
362,장충김밥,음식,라면김밥분식,서울특별시 중구 장충단로 186,127.006179803714,37.5612325763926
363,TGINC,음식,정통양식/경양식,서울특별시 중구 필동로1길 40,126.998562560445,37.5586723186522
364,파파존스피자,음식,피자전문,서울특별시 중구 동호로 233,127.007659074084,37.5580823528368
